| instruction                                                                                | category     | intent                   | response                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|:-------------------------------------------------------------------------------------------|:-------------|:-------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| switching to {{Account Category}} account                                                  | ACCOUNT      | switch_account           | I'm on it! I appreciate your decision to switch to the {{Account Category}} account. Let's make the transition a breeze:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|                                                                                            |              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          | 1. Access Your Account: Begin by logging into our platform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|                                                                                            |              |                          | 2. Account Settings: Once inside, navigate to your '{{Settings}}' or '{{Profile}}' section.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|                                                                                            |              |                          | 3. Change Account Type: Look for an option labeled '{{Account Change}}' or '{{Upgrade Account}}'.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|                                                                                            |              |                          | 4. Select {{Account Category}}: Choose the '{{Account Type}}' from the available options.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|                                                                                            |              |                          | 5. Confirm and Save: Follow the on-screen instructions to confirm your switch and save the changes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|                                                                                            |              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          | If you encounter any difficulties or have further questions, please don't hesitate to ask. I'm here to ensure a smooth and enjoyable experience. Welcome to the {{Account Category}} account, where you can continue enjoying great benefits!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| cancelin {{Account Type}} account                                                          | ACCOUNT      | delete_account           | Thanks for dropping us a line to us regarding the cancellation of your {{Account Type}} account. I understand your need to close your {{Account Type}} account and I'm here to assist you with the process. To cancel your {{Account Type}} account, please follow these steps:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                                                                                            |              |                          | 1. Log in to your account on our website.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|                                                                                            |              |                          | 2. Navigate to the account settings or profile section.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
